Club (Country)
Arsenal (ENG)
Astana (KAZ)
Atlético (ESP)
Barcelona (ESP)
BATE (BLR)
Bayern (GER)
Benfica (POR)
Chelsea (ENG)
CSKA Moskva (RUS)
Dinamo Zagreb (CRO)
Dynamo Kyiv (UKR)
Galatasaray (TUR)
Gent (BEL)
Juventus (ITA)
Leverkusen (GER)
Lyon (FRA)
M. Tel-Aviv (ISR)
Malmö (SWE)
Man. City (ENG)
Man. United (ENG)
Mönchengladbach (GER)
Olympiacos (GRE)
Paris (FRA)
Porto (POR)
PSV (NED)
Real Madrid (ESP)
Roma (ITA)
Sevilla (ESP)
Shakhtar Donetsk (UKR)
Valencia (ESP)
Wolfsburg (GER)
Zenit (RUS)
